id,accountNumber,agentId,cpuType,hostName,hypervisor,osName,osVersion,smBiosId,type,state,creationTimeStamp,lastModifiedTimeStamp,agentProvidedTimeStamp
d-server-06965ba13e537c4e1,049450565398,,vCPU,EXLFILEAPP,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),42011a87-84d5-0824-6187-105820856b47,VMWARE_VM,ACTIVE,2018-06-22 17:17:14,2018-09-20 14:52:42,
d-server-027f035c1db4dffed,049450565398,,vCPU,PHDTORPRINT.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42017ec7-5777-dfec-b3b3-9b4d2f02e0e2,VMWARE_VM,ACTIVE,2018-06-22 17:17:21,2018-09-20 14:52:39,
d-server-01018959de28a5c59,049450565398,,vCPU,,VMware ESXi,,Other (32-bit),42019e00-a9a8-ecfe-24ae-ccebac7597e0,VMWARE_VM,ACTIVE,2018-06-22 17:17:17,2018-09-20 14:52:41,
d-server-062f2942ee4a6b5d1,049450565398,,vCPU,NAIDCCOGCAC1V.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 (32-bit),4201866e-4a69-0181-b225-96ca43ecb970,VMWARE_VM,ACTIVE,2018-06-22 17:18:26,2018-09-20 14:52:44,
d-server-0656cb455e90a4ce8,049450565398,,vCPU,TOUCHEDHCP.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42013447-1498-18d1-9fde-03bcbdf910e1,VMWARE_VM,ACTIVE,2018-06-22 17:17:14,2018-09-20 14:52:42,
d-server-0aa303fc1f6f892ae,049450565398,,vCPU,TOUCHEPRINT.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42011b4b-ec3b-e8ef-899a-bf6335976898,VMWARE_VM,ACTIVE,2018-06-22 17:17:15,2018-09-20 14:52:42,
d-server-02cf6dbc535824b5c,049450565398,,vCPU,PHD-STORE2.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),4201aebd-e823-045f-d931-9383731d0310,VMWARE_VM,ACTIVE,2018-06-22 17:17:21,2018-09-20 14:52:40,
d-server-08abe232c17e22b66,049450565398,,vCPU,naidcrelay1.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2003 Standard (32-bit),564d3c99-f0a8-99c8-82e7-0301dbf48437,VMWARE_VM,ACTIVE,2018-06-22 17:18:29,2018-09-20 14:52:41,
d-server-00be05f2d585506f4,049450565398,,vCPU,naidcsm3.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42015bda-a3dd-3fdf-c806-85ed1ee6f0f6,VMWARE_VM,ACTIVE,2018-06-22 17:18:29,2018-09-20 14:52:42,
d-server-021492d96565d77c2,049450565398,,vCPU,CHIWebTest1.global.com,VMware ESXi,windowsGuest,Microsoft Windows 7 (64-bit),564d4208-36ce-da9e-6e43-a19eace853fc,VMWARE_VM,ACTIVE,2018-06-22 17:17:22,2018-09-20 14:52:39,
