,attributes.capacitystatus,attributes.clockSpeed,attributes.currentGeneration,attributes.dedicatedEbsThroughput,attributes.ebsOptimized,attributes.ecu,attributes.elasticGpuType,attributes.enhancedNetworkingSupported,attributes.fromLocation,attributes.fromLocationType,attributes.gpu,attributes.gpuMemory,attributes.group,attributes.groupDescription,attributes.instance,attributes.instanceCapacity10xlarge,attributes.instanceCapacity12xlarge,attributes.instanceCapacity16xlarge,attributes.instanceCapacity18xlarge,attributes.instanceCapacity24xlarge,attributes.instanceCapacity2xlarge,attributes.instanceCapacity32xlarge,attributes.instanceCapacity4xlarge,attributes.instanceCapacity8xlarge,attributes.instanceCapacity9xlarge,attributes.instanceCapacityLarge,attributes.instanceCapacityMedium,attributes.instanceCapacityXlarge,attributes.instanceFamily,attributes.instanceType,attributes.intelAvx2Available,attributes.intelAvxAvailable,attributes.intelTurboAvailable,attributes.licenseModel,attributes.location,attributes.locationType,attributes.maxIopsBurstPerformance,attributes.maxIopsvolume,attributes.maxThroughputvolume,attributes.maxVolumeSize,attributes.memory,attributes.networkPerformance,attributes.normalizationSizeFactor,attributes.operatingSystem,attributes.operation,attributes.physicalCores,attributes.physicalProcessor,attributes.preInstalledSw,attributes.processorArchitecture,attributes.processorFeatures,attributes.provisioned,attributes.servicecode,attributes.servicename,attributes.storage,attributes.storageMedia,attributes.tenancy,attributes.toLocation,attributes.toLocationType,attributes.transferType,attributes.usagetype,attributes.vcpu,attributes.volumeType,productFamily,sku
304,Used,2.5 GHz,Yes,2120 Mbps,,60,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m5d.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,64 GiB,Up to 10 Gigabit,32,Linux,RunInstances,,Intel Xeon Platinum 8175,NA,64-bit,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,2 x 300 NVMe SSD,,Shared,,,,BoxUsage:m5d.4xlarge,16,,Compute Instance,WF68Q2FH2F5QR8Q3
319,Used,,Yes,,,28,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,8,Linux,RunInstances:0200,,Intel Xeon Platinum 8151,SQL Web,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Dedicated,,,,DedicatedUsage:z1d.xlarge,4,,Compute Instance,9PAJC4V9PRWCVH3U
327,Used,2.8 GHz,No,,,14,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,7.5 GiB,Moderate,8,Linux,RunInstances:0200,,Intel Xeon E5-2680 v2 (Ivy Bridge),SQL Web,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 40 SSD,,Host,,,,HostBoxUsage:c3.xlarge,4,,Compute Instance,RA5SXGKB6S4RMDZ3
337,Used,,Yes,,,10,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5d.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,16 GiB,10 Gigabit,4,Linux,RunInstances:0004,,Intel Xeon Platinum 8175,SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 75 NVMe SSD,,Shared,,,,BoxUsage:r5d.large,2,,Compute Instance,N2AN9AHRCJTQH8AV
338,Used,2.5 GHz,No,,,13,,,,,,,,,,,,,,,,,,,,,,,General purpose,m3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,15 GiB,High,8,Windows,RunInstances:0102,,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),SQL Ent,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 40 SSD,,Host,,,,HostBoxUsage:m3.xlarge,4,,Compute Instance,KWHF9MHUCVG2FS5B
346,Used,2.4 GHz,Yes,450 Mbps,,6.5,,Yes,,,,,,,,,,,,,,,,,,,,,General purpose,m4.large,,,,No License required,US East (N. Virginia),AWS Region,,,,,8 GiB,Moderate,4,Linux,RunInstances:0004,,Intel Xeon E5-2676 v3 (Haswell),SQL Std,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Shared,,,,BoxUsage:m4.large,2,,Compute Instance,3BGT4FEUNNPJ4ZYU
355,Used,2.3 GHz,Yes,14000 Mbps,,200,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,i3.16xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,488 GiB,20 Gigabit,128,Windows,RunInstances:0102,,Intel Xeon E5-2686 v4 (Broadwell),SQL Ent,64-bit,"Intel AVX, Intel AVX2, Intel Turbo",,AmazonEC2,Amazon Elastic Compute Cloud,8 x 1900 NVMe SSD,,Shared,,,,BoxUsage:i3.16xlarge,64,,Compute Instance,32XCE2AVYT82WZYJ
363,Used,2.4 GHz,Yes,,,116,,Yes,,,,,,,,,,,,,,,,,,,,,Storage optimized,d2.8xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,244 GiB,10 Gigabit,64,Windows,RunInstances:0102,,Intel Xeon E5-2676v3 (Haswell),SQL Ent,64-bit,Intel AVX; Intel AVX2; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,24 x 2000 HDD,,Shared,,,,BoxUsage:d2.8xlarge,36,,Compute Instance,J8FC8SEVZRJMDMBB
381,Used,2.8 GHz,No,,,14,,Yes,,,,,,,,,,,,,,,,,,,,,Compute optimized,c3.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,7.5 GiB,Moderate,8,Windows,RunInstances:0102,,Intel Xeon E5-2680 v2 (Ivy Bridge),SQL Ent,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,2 x 40 SSD,,Dedicated,,,,DedicatedUsage:c3.xlarge,4,,Compute Instance,DXSPZRZ93HBNNHCJ
412,Used,,Yes,,,71,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,r5.4xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,128 GiB,10 Gigabit,32,SUSE,RunInstances:000g,,Intel Xeon Platinum 8175,NA,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,EBS only,,Host,,,,HostBoxUsage:r5.4xlarge,16,,Compute Instance,ZSWSYWYMF8CY8NZC
441,Used,,Yes,,,28,,,,,,,,,,,,,,,,,,,,,,,Memory optimized,z1d.xlarge,,,,No License required,US East (N. Virginia),AWS Region,,,,,32 GiB,Up to 10 Gigabit,8,Linux,RunInstances:0004,,Intel Xeon Platinum 8151,SQL Std,64-bit,,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 150 NVMe SSD,,Dedicated,,,,DedicatedUsage:z1d.xlarge,4,,Compute Instance,3UVUUZXF8Q6C7XQY
449,Used,2.5 GHz,No,,,6.5,,,,,,,,,,,,,,,,,,,,,,,General purpose,m3.large,,,,Bring your own license,US East (N. Virginia),AWS Region,,,,,7.5 GiB,Moderate,4,Windows,RunInstances:0800,,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),NA,64-bit,Intel AVX; Intel Turbo,,AmazonEC2,Amazon Elastic Compute Cloud,1 x 32 SSD,,Host,,,,HostBoxUsage:m3.large,2,,Compute Instance,YD2QA7TB4GYV4U3P
