accountNumber,serverId,name,macAddress,family,ipAddress,gateway,netMask,portGroupName,portGroupId,virtualSwitchName,state,creationTimeStamp,lastModifiedTimeStamp
049450565398,d-server-0877f9948df43cada,,00:50:56:81:31:fe,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-0c675775c8c68bc4c,,00:50:56:81:7e:27,,,,,Trunk 102,Trunk 102,Trunk 102,ACTIVE,,
049450565398,d-server-0ee6723c76642b3d8,vmnic0,d8:9d:67:24:0b:4c,,,,,,,,ACTIVE,,
049450565398,d-server-0ee6723c76642b3d8,vmnic2,d8:9d:67:24:0b:4e,,,,,,,,ACTIVE,,
049450565398,d-server-0ee6723c76642b3d8,vmnic1,d8:9d:67:24:0b:4d,,,,,,,,ACTIVE,,
049450565398,d-server-0ee6723c76642b3d8,vmnic3,d8:9d:67:24:0b:4f,,,,,,,,ACTIVE,,
049450565398,d-server-0dbec26215e77f068,,00:50:56:81:4f:8f,,,,,Trunk 100,Trunk 100,Trunk 100,ACTIVE,,
049450565398,d-server-0b8c76a7e0edce31f,,00:50:56:81:4c:0f,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-0e69d8f5a575c6ba8,vmnic2,ac:16:2d:71:cc:8a,,,,,,,,ACTIVE,,
049450565398,d-server-0e69d8f5a575c6ba8,vmnic3,ac:16:2d:71:cc:8b,,,,,,,,ACTIVE,,
049450565398,d-server-0e69d8f5a575c6ba8,vmnic1,ac:16:2d:71:cc:89,,,,,,,,ACTIVE,,
049450565398,d-server-0e69d8f5a575c6ba8,vmnic0,ac:16:2d:71:cc:88,,,,,,,,ACTIVE,,
049450565398,d-server-0880ddb04c7396f9c,vmnic2,00:25:b5:10:01:1f,,,,,,,,ACTIVE,,
049450565398,d-server-0880ddb04c7396f9c,vmnic3,00:25:b5:10:01:0f,,,,,,,,ACTIVE,,
049450565398,d-server-0880ddb04c7396f9c,vmnic1,00:25:b5:10:00:ff,,,,,,,,ACTIVE,,
049450565398,d-server-0880ddb04c7396f9c,vmnic0,00:25:b5:10:00:df,,,,,,,,ACTIVE,,
049450565398,d-server-0ae72ff4feb90c4e6,,00:50:56:81:29:df,,,,,Trunk 100,Trunk 100,Trunk 100,ACTIVE,,
049450565398,d-server-0d94b67a849573ccd,vmnic1,7c:0e:ce:ee:bf:db,,,,,,,,ACTIVE,,
049450565398,d-server-0d94b67a849573ccd,vmnic0,7c:0e:ce:ee:bf:da,,,,,,,,ACTIVE,,
