instanceType,instanceFamily,OS,ecu,memory,storage,physicalProcessor,ebsMbps,ebsIsUpTo,netGbps,netIsUpTo
m4.10xlarge,General purpose,Linux,124.5,160.0,EBS only,Intel Xeon E5-2676 v3 (Haswell),4000.0,False,10.0,False
m4.2xlarge,General purpose,SUSE,26,32.0,EBS only,Intel Xeon E5-2676 v3 (Haswell),1000.0,False,1.0,False
p3.2xlarge,GPU instance,RHEL,26,61.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),1750.0,False,10.0,True
p3.16xlarge,GPU instance,SUSE,188,488.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),14000.0,False,25.0,False
r4.4xlarge,Memory optimized,Windows,53,122.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),3000.0,False,10.0,True
c4.large,Compute optimized,SUSE,8,3.75,EBS only,Intel Xeon E5-2666 v3 (Haswell),500.0,False,0.3,False
m4.2xlarge,General purpose,Windows,26,32.0,EBS only,Intel Xeon E5-2676 v3 (Haswell),1000.0,False,1.0,False
p2.xlarge,GPU instance,Linux,12,61.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),,False,1.0,False
m4.10xlarge,General purpose,Windows,124.5,160.0,EBS only,Intel Xeon E5-2676 v3 (Haswell),4000.0,False,10.0,False
c5.9xlarge,Compute optimized,Linux,141,72.0,EBS only,Intel Xeon Platinum 8124M,4500.0,False,10.0,False
g3.16xlarge,GPU instance,RHEL,188,488.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),14000.0,False,20.0,False
r4.xlarge,Memory optimized,Linux,13.5,30.5,EBS only,Intel Xeon E5-2686 v4 (Broadwell),800.0,False,10.0,True
c5.large,Compute optimized,Linux,9,4.0,EBS only,Intel Xeon Platinum 8124M,2250.0,True,10.0,True
m4.xlarge,General purpose,Windows,13,16.0,EBS only,Intel Xeon E5-2676 v3 (Haswell),750.0,False,1.0,False
c4.large,Compute optimized,Windows,8,3.75,EBS only,Intel Xeon E5-2666 v3 (Haswell),500.0,False,0.3,False
r4.16xlarge,Memory optimized,RHEL,195,488.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),12000.0,False,20.0,False
c4.xlarge,Compute optimized,Windows,16,7.5,EBS only,Intel Xeon E5-2666 v3 (Haswell),750.0,False,1.0,False
m5.2xlarge,General purpose,SUSE,31,32.0,EBS only,Intel Xeon Platinum 8175,2120.0,True,10.0,True
m5.2xlarge,General purpose,Linux,31,32.0,EBS only,Intel Xeon Platinum 8175,2120.0,True,10.0,True
c5.18xlarge,Compute optimized,SUSE,281,144.0,EBS only,Intel Xeon Platinum 8124M,9000.0,False,25.0,False
m4.2xlarge,General purpose,Linux,26,32.0,EBS only,Intel Xeon E5-2676 v3 (Haswell),1000.0,False,1.0,False
g3.16xlarge,GPU instance,SUSE,188,488.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),14000.0,False,20.0,False
g3.4xlarge,GPU instance,RHEL,47,122.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),3500.0,False,10.0,True
c4.8xlarge,Compute optimized,Windows,132,60.0,EBS only,Intel Xeon E5-2666 v3 (Haswell),4000.0,False,10.0,False
r4.4xlarge,Memory optimized,RHEL,53,122.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),3000.0,False,10.0,True
