,instanceType,instanceFamily,OS,ecu,vcpu,memory,normSizeFactor,storage,physicalProcessor,ebsMbps,ebsIsUpTo,netGbps,netIsUpTo
37930,m4.xlarge,General purpose,RHEL,13.0,4,16.0,8,EBS only,Intel Xeon E5-2676 v3 (Haswell),750.0,False,1.0,False
38001,c5.18xlarge,Compute optimized,Windows,281.0,72,144.0,144,EBS only,Intel Xeon Platinum 8124M,9000.0,False,25.0,False
38338,m4.10xlarge,General purpose,Linux,124.5,40,160.0,80,EBS only,Intel Xeon E5-2676 v3 (Haswell),4000.0,False,10.0,False
38736,m4.2xlarge,General purpose,SUSE,26.0,8,32.0,16,EBS only,Intel Xeon E5-2676 v3 (Haswell),1000.0,False,1.0,False
38917,p3.2xlarge,GPU instance,RHEL,26.0,8,61.0,16,EBS only,Intel Xeon E5-2686 v4 (Broadwell),1750.0,False,10.0,True
39033,p3.16xlarge,GPU instance,SUSE,188.0,64,488.0,128,EBS only,Intel Xeon E5-2686 v4 (Broadwell),14000.0,False,25.0,False
39297,r4.4xlarge,Memory optimized,Windows,53.0,16,122.0,32,EBS only,Intel Xeon E5-2686 v4 (Broadwell),3000.0,False,10.0,True
39391,c4.large,Compute optimized,SUSE,8.0,2,3.75,4,EBS only,Intel Xeon E5-2666 v3 (Haswell),500.0,False,0.3,False
39590,m4.2xlarge,General purpose,Windows,26.0,8,32.0,16,EBS only,Intel Xeon E5-2676 v3 (Haswell),1000.0,False,1.0,False
39602,p2.xlarge,GPU instance,Linux,12.0,4,61.0,8,EBS only,Intel Xeon E5-2686 v4 (Broadwell),,False,1.0,False
40021,m4.10xlarge,General purpose,Windows,124.5,40,160.0,80,EBS only,Intel Xeon E5-2676 v3 (Haswell),4000.0,False,10.0,False
40211,c5.9xlarge,Compute optimized,Linux,141.0,36,72.0,72,EBS only,Intel Xeon Platinum 8124M,4500.0,False,10.0,False
40641,g3.16xlarge,GPU instance,RHEL,188.0,64,488.0,128,EBS only,Intel Xeon E5-2686 v4 (Broadwell),14000.0,False,20.0,False
40732,r4.xlarge,Memory optimized,Linux,13.5,4,30.5,8,EBS only,Intel Xeon E5-2686 v4 (Broadwell),800.0,False,10.0,True
40892,c5.large,Compute optimized,Linux,9.0,2,4.0,4,EBS only,Intel Xeon Platinum 8124M,2250.0,True,10.0,True
41957,m4.xlarge,General purpose,Windows,13.0,4,16.0,8,EBS only,Intel Xeon E5-2676 v3 (Haswell),750.0,False,1.0,False
